;Temperatura;Temperaturamax;Temperaturamin;Precipitacion(mm);Horasdesol(horas)
1.Enero;28;32;23;3.2mm;7.1
2.Enero;28;33;23;4.6mm;7.1
3.Enero;28;32;23;5.3mm;7.3
4.Enero;27;32;23;4.8mm;6.9
5.Enero;27;34;22;5.8mm;6.5
6.Enero;27;34;22;5.2mm;6.6
7.Enero;27;33;22;5.9mm;6.3
8.Enero;27;32;23;6.4mm;6.3
9.Enero;28;33;23;6.5mm;6.4
10.Enero;28;32;25;4.4mm;6.3
11.Enero;27;32;23;5.6mm;6.4
12.Enero;28;32;25;3.8mm;6.1
13.Enero;27;33;23;3.9mm;6
14.Enero;27;32;23;4.5mm;6.3
15.Enero;28;33;23;6.1mm;6.1
16.Enero;27;32;22;7.3mm;5.9
17.Enero;27;32;22;6.5mm;5.7
18.Enero;27;33;23;6.2mm;5.9
19.Enero;28;33;22;4.3mm;6.2
20.Enero;28;33;23;4.1mm;6.3
21.Enero;28;33;22;4.7mm;6.3
22.Enero;28;33;22;4.7mm;6.8
23.Enero;28;33;23;3.8mm;6.4
24.Enero;28;34;23;3.2mm;6.3
25.Enero;29;35;24;3.1mm;6.7
26.Enero;28;33;23;3.1mm;6.5
27.Enero;27;32;22;3.3mm;6.8
28.Enero;27;33;22;3.4mm;6.5
29.Enero;27;33;21;4.2mm;6.8
30.Enero;27;34;21;4.3mm;6.8
31.Enero;27;32;21;5.0mm;6.4
1.Febrero;27;33;21;4.8mm;6.4
2.Febrero;28;34;22;5.1mm;6.9
3.Febrero;28;34;21;4.9mm;6.7
4.Febrero;28;33;21;6.9mm;7
5.Febrero;28;34;23;7.3mm;7
6.Febrero;28;35;23;5.8mm;7
7.Febrero;29;34;24;5.6mm;7
8.Febrero;29;34;25;7.2mm;6.5
9.Febrero;29;34;24;7.2mm;6.6
10.Febrero;29;34;23;7.4mm;6.8
11.Febrero;28;34;24;5.0mm;6.6
12.Febrero;28;34;24;5.9mm;6.5
13.Febrero;28;32;24;5.2mm;6.7
14.Febrero;28;34;24;5.6mm;6.4
15.Febrero;28;33;24;4.5mm;6.6
16.Febrero;29;34;24;6.3mm;6.2
17.Febrero;29;35;23;7.5mm;5.8
18.Febrero;28;32;23;6.4mm;6
19.Febrero;27;33;21;7.5mm;6
20.Febrero;27;33;21;6.9mm;5.9
21.Febrero;27;34;22;7.0mm;5.9
22.Febrero;27;33;21;6.7mm;6.2
23.Febrero;28;34;22;6.5mm;6.3
24.Febrero;28;35;22;6.6mm;6.6
25.Febrero;27;33;22;6.9mm;6.5
26.Febrero;27;33;23;6.4mm;6.5
27.Febrero;27;33;22;7.0mm;6.5
28.Febrero;27;34;23;8.3mm;6.5
1.Marzo;28;33;23;8.6mm;6.5
2.Marzo;28;34;24;9.0mm;6.4
3.Marzo;28;34;23;8.2mm;6.2
4.Marzo;29;34;24;7.5mm;6.6
5.Marzo;28;34;25;7.8mm;7
6.Marzo;28;34;24;9.1mm;6.5
7.Marzo;28;33;24;8.5mm;6.3
8.Marzo;27;31;23;8.1mm;6.6
9.Marzo;27;31;25;7.8mm;6.7
10.Marzo;27;32;24;7.4mm;6.7
11.Marzo;28;33;23;7.1mm;6.4
12.Marzo;27;33;23;7.0mm;7.1
13.Marzo;28;33;25;6.5mm;7.1
14.Marzo;28;33;23;7.8mm;6.6
15.Marzo;28;33;24;8.0mm;6.3
16.Marzo;27;33;24;7.3mm;6.8
17.Marzo;28;33;24;10.5mm;6.5
18.Marzo;29;35;25;9.8mm;6
19.Marzo;29;35;24;9.3mm;6.7
20.Marzo;28;33;24;10.5mm;6.4
21.Marzo;29;35;23;9.8mm;6.1
22.Marzo;28;34;24;10.6mm;6.3
23.Marzo;29;35;24;9.4mm;6.4
24.Marzo;29;34;24;9.6mm;7
25.Marzo;29;35;25;9.4mm;6.7
26.Marzo;29;34;25;10.8mm;6.4
27.Marzo;28;34;24;10.8mm;6.6
28.Marzo;28;34;24;10.2mm;6.5
29.Marzo;29;34;24;10.1mm;6.6
30.Marzo;28;34;25;9.4mm;6.3
31.Marzo;29;35;24;10.9mm;6.7
1.Abril;29;35;25;10.8mm;6.6
2.Abril;29;35;25;10.1mm;6.7
3.Abril;29;35;25;10.6mm;6.6
4.Abril;29;35;25;11.3mm;6.3
5.Abril;29;35;25;10.0mm;6.5
6.Abril;29;34;24;10.9mm;6.6
7.Abril;28;32;24;9.9mm;7
8.Abril;28;32;24;12.1mm;6.8
9.Abril;28;32;25;10.2mm;6.7
10.Abril;29;34;24;10.4mm;6.1
11.Abril;28;32;25;11.9mm;6.2
12.Abril;29;34;26;13.0mm;6.2
13.Abril;29;33;25;14.9mm;6.5
14.Abril;29;34;25;13.4mm;6.1
15.Abril;29;35;25;10.2mm;6.5
16.Abril;28;33;25;10.6mm;7.1
17.Abril;27;30;24;11.3mm;6.9
18.Abril;28;32;25;10.7mm;6.5
19.Abril;29;34;25;11.4mm;7.1
20.Abril;29;34;25;13.2mm;6.8
21.Abril;28;32;26;12.8mm;6.8
22.Abril;28;32;25;10.4mm;7.1
23.Abril;28;32;26;10.9mm;6.6
