tick,TotalHumans,Susceptible,Exposed,Infected,Recovered,New Cases per day
1,100000,99994,0,6,0,0
2,100000,99941,53,6,0,0
3,100000,99906,88,6,0,0
4,100000,99880,114,6,0,0
5,100000,99837,157,6,0,0
6,100000,99807,134,59,0,53
7,100000,99775,131,94,0,35
8,100000,99737,143,114,6,26
9,100000,99699,138,157,6,43
10,100000,99673,134,187,6,30
11,100000,99632,143,219,6,32
12,100000,99604,133,257,6,38
13,100000,99570,129,242,59,38
14,100000,99548,125,233,94,26
15,100000,99522,110,248,120,41
16,100000,99480,124,233,163,28
17,100000,99446,124,237,193,34
18,100000,99427,121,227,225,22
19,100000,99395,127,215,263,26
20,100000,99362,118,219,301,42
21,100000,99335,111,227,327,34
22,100000,99310,117,205,368,19
23,100000,99284,111,209,396,32
24,100000,99257,105,208,430,33
25,100000,99229,106,213,452,27
26,100000,99189,121,212,478,25
27,100000,99165,119,196,520,26
28,100000,99141,116,189,554,27
29,100000,99113,116,198,573,28
30,100000,99087,102,206,605,40
31,100000,99052,113,197,638,24
32,100000,99020,121,194,665,24
33,100000,98990,123,197,690,28
34,100000,98958,129,197,716,26
35,100000,98936,116,205,743,35
36,100000,98911,109,209,771,32
37,100000,98878,112,199,811,30
38,100000,98848,110,207,835,32
39,100000,98817,119,205,859,22
40,100000,98779,132,202,887,25
41,100000,98752,126,209,913,33
42,100000,98717,131,204,948,30
43,100000,98680,137,203,980,31
44,100000,98653,126,211,1010,38
45,100000,98632,120,206,1042,27
46,100000,98614,103,219,1064,35
47,100000,98584,96,231,1089,37
48,100000,98562,91,225,1122,27
49,100000,98521,111,216,1152,21
50,100000,98495,119,203,1183,18
51,100000,98462,122,195,1221,30
52,100000,98422,140,190,1248,22
53,100000,98389,132,196,1283,41
54,100000,98357,138,185,1320,26
55,100000,98315,147,191,1347,33
56,100000,98290,132,210,1368,40
57,100000,98268,121,225,1386,33
58,100000,98243,114,227,1416,32
59,100000,98208,107,247,1438,42
60,100000,98172,118,231,1479,25
61,100000,98129,139,227,1505,22
62,100000,98106,137,219,1538,25
63,100000,98078,130,214,1578,35
64,100000,98050,122,217,1611,36
65,100000,98006,123,228,1643,43
66,100000,97983,123,209,1685,23
67,100000,97946,132,212,1710,28
68,100000,97914,136,218,1732,28
69,100000,97873,133,237,1757,44
70,100000,97846,137,225,1792,23
71,100000,97816,130,226,1828,37
72,100000,97783,131,215,1871,32
73,100000,97757,116,233,1894,41
74,100000,97732,114,232,1922,27
75,100000,97690,126,234,1950,30
76,100000,97658,125,223,1994,33
77,100000,97621,136,226,2017,26
78,100000,97585,147,214,2054,25
79,100000,97547,143,224,2086,42
80,100000,97523,135,215,2127,32
81,100000,97487,134,225,2154,37
82,100000,97452,133,231,2184,36
83,100000,97430,117,236,2217,38
84,100000,97396,127,234,2243,24
85,100000,97363,124,245,2268,36
86,100000,97338,114,238,2310,35
87,100000,97308,122,228,2342,22
88,100000,97270,126,225,2379,34
89,100000,97248,115,222,2415,33
90,100000,97215,123,209,2453,25
91,100000,97194,114,215,2477,30
92,100000,97165,105,217,2513,38
93,100000,97138,110,204,2548,22
94,100000,97107,108,215,2570,33
95,100000,97077,117,202,2604,21
96,100000,97053,112,198,2637,29
97,100000,97033,105,200,2662,27
98,100000,97005,102,201,2692,31
99,100000,96978,99,193,2730,30
100,100000,96945,108,195,2752,24
101,100000,96909,124,182,2785,20
102,100000,96886,119,189,2806,28
103,100000,96858,120,187,2835,27
104,100000,96836,109,193,2862,33
105,100000,96808,101,198,2893,36
106,100000,96767,119,191,2923,23
107,100000,96729,129,195,2947,28
108,100000,96702,134,197,2967,22
109,100000,96672,136,197,2995,28
110,100000,96638,129,211,3022,41
111,100000,96610,119,216,3055,38
112,100000,96587,115,207,3091,27
113,100000,96554,118,214,3114,30
114,100000,96527,111,220,3142,34
115,100000,96494,116,226,3164,28
116,100000,96468,119,221,3192,23
117,100000,96438,116,213,3233,33
118,100000,96414,113,202,3271,27
119,100000,96381,113,208,3298,33
120,100000,96346,122,204,3328,26
121,100000,96311,127,200,3362,30
122,100000,96276,138,196,3390,24
123,100000,96245,136,206,3413,33
124,100000,96204,142,208,3446,35
125,100000,96183,128,216,3473,35
126,100000,96151,125,218,3506,35
127,100000,96130,115,223,3532,31
128,100000,96101,103,234,3562,41
129,100000,96063,120,231,3586,21
130,100000,96043,108,230,3619,32
131,100000,96014,116,216,3654,21
132,100000,95980,121,210,3689,29
133,100000,95956,107,213,3724,38
134,100000,95915,128,202,3755,20
135,100000,95882,132,190,3796,29
136,100000,95847,133,203,3817,34
137,100000,95817,139,195,3849,24
138,100000,95789,126,215,3870,41
139,100000,95758,124,219,3899,33
140,100000,95725,122,216,3937,35
141,100000,95697,120,226,3957,30
142,100000,95668,121,225,3986,28
143,100000,95640,118,222,4020,31
144,100000,95605,120,231,4044,33
145,100000,95579,118,218,4085,28
146,100000,95549,119,214,4118,29
147,100000,95514,126,207,4153,28
148,100000,95484,121,212,4183,35
149,100000,95444,135,210,4211,26
150,100000,95414,135,209,4242,30
