Category,X,Y
Residential,0,106
Residential,0,107
Residential,2,106
Residential,2,107
Residential,2,112
Residential,4,107
Residential,4,108
Residential,4,114
Residential,4,156
Residential,6,108
Residential,6,109
Residential,6,111
Residential,6,115
Residential,6,155
Residential,6,156
Residential,6,157
Residential,6,158
Residential,8,106
Residential,8,108
Residential,8,111
Residential,8,112
Residential,8,113
Residential,8,114
Residential,8,151
Residential,8,154
Residential,10,105
Residential,10,107
Residential,10,111
Residential,10,114
Residential,10,115
Residential,10,143
Residential,10,144
Residential,10,153
Residential,10,155
Residential,10,156
Residential,10,157
Residential,10,159
Residential,10,160
Residential,12,103
Residential,12,104
Residential,12,106
Residential,12,107
Residential,12,109
Residential,12,112
Residential,12,113
Residential,12,115
Residential,12,117
Residential,12,144
Residential,12,145
Residential,12,153
Residential,12,154
Residential,12,156
Residential,12,157
Residential,12,158
Residential,12,159
Residential,12,160
Residential,14,103
Residential,14,108
Residential,14,109
Residential,14,111
Residential,14,112
Residential,14,113
Residential,14,114
Residential,14,116
Residential,14,144
Residential,14,146
Residential,14,151
Residential,14,153
Residential,14,154
Residential,14,155
Residential,14,156
Residential,14,157
Residential,14,158
Residential,14,159
Residential,14,160
Residential,16,41
Residential,16,42
Residential,16,43
Residential,16,99
Residential,16,101
Residential,16,103
Residential,16,104
Residential,16,105
Residential,16,107
Residential,16,108
Residential,16,109
Residential,16,112
Residential,16,113
Residential,16,116
Residential,16,117
Residential,16,118
Residential,16,121
Residential,16,144
Residential,16,145
Residential,16,146
Residential,16,147
Residential,16,148
Residential,16,149
Residential,16,153
Residential,16,154
Residential,16,155
Residential,16,156
Residential,16,157
Residential,16,158
Residential,16,159
Residential,16,160
Residential,16,161
Residential,16,164
Residential,18,40
Residential,18,43
Residential,18,45
Residential,18,46
Residential,18,52
Residential,18,53
Residential,18,98
Residential,18,99
Residential,18,101
Residential,18,102
Residential,18,103
Residential,18,104
Residential,18,106
Residential,18,108
Residential,18,109
Residential,18,111
Residential,18,112
Residential,18,113
Residential,18,119
Residential,18,121
Residential,18,124
Residential,18,143
Residential,18,144
Residential,18,146
Residential,18,147
Residential,18,148
Residential,18,149
Residential,18,150
Residential,18,153
Residential,18,155
Residential,18,156
Residential,18,157
Residential,18,158
Residential,18,159
Residential,18,160
Residential,18,161
Residential,18,163
Residential,18,164
Residential,20,35
Residential,20,42
Residential,20,43
Residential,20,48
Residential,20,51
Residential,20,52
Residential,20,97
Residential,20,102
Residential,20,103
Residential,20,104
Residential,20,106
Residential,20,107
Residential,20,108
Residential,20,109
Residential,20,112
Residential,20,115
Residential,20,117
Residential,20,119
Residential,20,122
Residential,20,123
Residential,20,125
Residential,20,127
Residential,20,146
Residential,20,147
Residential,20,148
Residential,20,149
Residential,20,150
Residential,20,151
Residential,20,153
Residential,20,154
Residential,20,155
Residential,20,156
Residential,20,157
Residential,20,158
Residential,20,159
Residential,20,161
Residential,20,163
Residential,20,164
Residential,20,165
Residential,22,34
Residential,22,36
Residential,22,38
Residential,22,39
Residential,22,41
Residential,22,42
Residential,22,43
Residential,22,44
Residential,22,45
Residential,22,46
Residential,22,48
Residential,22,49
Residential,22,52
Residential,22,56
Residential,22,90
Residential,22,91
Residential,22,93
Residential,22,94
Residential,22,95
Residential,22,96
Residential,22,98
Residential,22,99
Residential,22,102
Residential,22,103
Residential,22,104
Residential,22,105
Residential,22,106
Residential,22,107
Residential,22,109
Residential,22,111
Residential,22,112
Residential,22,114
Residential,22,116
Residential,22,118
Residential,22,119
Residential,22,122
Residential,22,123
Residential,22,124
Residential,22,128
Residential,22,129
Residential,22,142
Residential,22,144
Residential,22,145
Residential,22,146
Residential,22,147
Residential,22,148
Residential,22,149
Residential,22,150
Residential,22,151
Residential,22,153
Residential,22,156
Residential,22,157
Residential,22,158
Residential,22,159
Residential,22,160
Residential,22,161
Residential,22,164
Residential,22,165
Residential,24,32
Residential,24,38
Residential,24,39
Residential,24,41
Residential,24,42
Residential,24,43
Residential,24,45
Residential,24,48
Residential,24,50
Residential,24,52
Residential,24,53
Residential,24,54
Residential,24,55
Residential,24,57
Residential,24,59
Residential,24,60
Residential,24,61
Residential,24,64
Residential,24,86
Residential,24,87
Residential,24,90
Residential,24,91
Residential,24,93
Residential,24,94
Residential,24,95
Residential,24,97
Residential,24,98
Residential,24,101
Residential,24,102
Residential,24,103
Residential,24,104
Residential,24,105
Residential,24,106
Residential,24,108
Residential,24,109
Residential,24,111
Residential,24,112
Residential,24,113
Residential,24,114
Residential,24,115
Residential,24,116
Residential,24,117
Residential,24,118
Residential,24,119
Residential,24,121
Residential,24,123
Residential,24,124
Residential,24,125
Residential,24,126
Residential,24,130
Residential,24,140
Residential,24,142
Residential,24,143
Residential,24,144
Residential,24,146
Residential,24,147
Residential,24,148
Residential,24,149
Residential,24,151
Residential,24,153
Residential,24,154
Residential,24,155
Residential,24,156
Residential,24,157
Residential,24,159
Residential,24,160
Residential,24,161
Residential,24,163
Residential,24,164
Residential,24,165
Residential,26,34
Residential,26,35
Residential,26,36
Residential,26,40
Residential,26,42
Residential,26,45
Residential,26,46
Residential,26,48
Residential,26,49
Residential,26,54
Residential,26,55
Residential,26,56
Residential,26,57
Residential,26,62
Residential,26,63
Residential,26,64
Residential,26,65
Residential,26,66
Residential,26,83
Residential,26,84
Residential,26,85
Residential,26,87
Residential,26,88
Residential,26,92
Residential,26,93
Residential,26,94
Residential,26,95
Residential,26,97
Residential,26,98
Residential,26,99
Residential,26,101
Residential,26,102
Residential,26,103
Residential,26,104
Residential,26,105
Residential,26,106
Residential,26,107
Residential,26,108
Residential,26,109
Residential,26,111
Residential,26,112
Residential,26,114
Residential,26,115
Residential,26,116
Residential,26,117
Residential,26,118
Residential,26,119
Residential,26,122
Residential,26,123
Residential,26,124
Residential,26,126
Residential,26,127
Residential,26,128
Residential,26,132
Residential,26,133
Residential,26,134
Residential,26,136
Residential,26,139
Residential,26,140
Residential,26,142
Residential,26,144
Residential,26,145
Residential,26,146
Residential,26,147
Residential,26,148
Residential,26,149
Residential,26,150
Residential,26,151
Residential,26,153
Residential,26,155
Residential,26,156
Residential,26,157
Residential,26,158
Residential,26,159
Residential,26,160
Residential,26,161
