neighborhood_id,neighborhood_name,x,y
1,Oasis,100,192
1,Oasis,100,191
1,Oasis,101,191
1,Oasis,103,189
1,Oasis,103,193
1,Oasis,102,185
1,Oasis,100,188
1,Oasis,102,189
1,Oasis,101,186
1,Oasis,101,188
1,Oasis,103,185
1,Oasis,100,187
1,Oasis,102,184
1,Oasis,103,186
1,Oasis,103,188
1,Oasis,102,186
1,Oasis,100,189
1,Oasis,102,188
1,Oasis,101,187
1,Oasis,103,184
1,Oasis,103,187
1,Oasis,101,190
1,Oasis,102,187
1,Oasis,100,190
1,Oasis,100,186
1,Oasis,102,193
1,Oasis,101,185
1,Oasis,102,190
1,Oasis,103,190
1,Oasis,101,193
1,Oasis,100,185
1,Oasis,102,192
1,Oasis,101,184
1,Oasis,102,191
1,Oasis,103,191
1,Oasis,101,192
1,Oasis,100,184
2,La Quinina,29,128
2,La Quinina,29,127
2,La Quinina,29,126
2,La Quinina,28,126
2,La Quinina,27,123
2,La Quinina,28,123
2,La Quinina,29,121
2,La Quinina,27,124
2,La Quinina,27,122
2,La Quinina,28,124
2,La Quinina,28,122
2,La Quinina,27,121
2,La Quinina,27,127
2,La Quinina,29,124
2,La Quinina,27,125
2,La Quinina,29,122
2,La Quinina,29,123
2,La Quinina,27,126
2,La Quinina,29,125
3,Ondas del Caribe,96,184
3,Ondas del Caribe,97,184
3,Ondas del Caribe,96,185
3,Ondas del Caribe,97,185
3,Ondas del Caribe,96,186
3,Ondas del Caribe,98,186
3,Ondas del Caribe,97,186
3,Ondas del Caribe,98,184
3,Ondas del Caribe,96,187
3,Ondas del Caribe,97,187
3,Ondas del Caribe,98,185
3,Ondas del Caribe,96,188
3,Ondas del Caribe,98,188
3,Ondas del Caribe,97,191
3,Ondas del Caribe,98,191
3,Ondas del Caribe,97,192
3,Ondas del Caribe,97,190
3,Ondas del Caribe,98,192
3,Ondas del Caribe,97,188
3,Ondas del Caribe,98,187
3,Ondas del Caribe,96,190
3,Ondas del Caribe,97,189
3,Ondas del Caribe,98,193
3,Ondas del Caribe,96,192
3,Ondas del Caribe,98,189
3,Ondas del Caribe,98,190
3,Ondas del Caribe,96,193
4,Pantano,89,193
4,Pantano,90,193
4,Pantano,89,192
4,Pantano,89,184
4,Pantano,88,185
4,Pantano,90,192
4,Pantano,89,191
4,Pantano,89,185
4,Pantano,88,191
4,Pantano,90,188
4,Pantano,89,188
4,Pantano,88,192
4,Pantano,90,189
4,Pantano,90,187
4,Pantano,90,185
4,Pantano,88,188
4,Pantano,89,189
4,Pantano,89,187
4,Pantano,90,191
4,Pantano,88,193
4,Pantano,90,190
4,Pantano,89,186
4,Pantano,88,189
4,Pantano,90,184
4,Pantano,88,187
4,Pantano,88,186
5,8 de Diciembre,103,196
5,8 de Diciembre,101,197
5,8 de Diciembre,102,196
5,8 de Diciembre,103,195
5,8 de Diciembre,101,196
5,8 de Diciembre,102,195
5,8 de Diciembre,101,195
6,La Coquera,23,125
6,La Coquera,24,125
6,La Coquera,25,126
6,La Coquera,25,128
6,La Coquera,24,126
6,La Coquera,25,127
6,La Coquera,24,127
6,La Coquera,23,127
6,La Coquera,23,128
7,San Jacinto,25,140
7,San Jacinto,23,140
7,San Jacinto,24,140
7,San Jacinto,24,139
7,San Jacinto,25,138
7,San Jacinto,24,138
7,San Jacinto,24,132
7,San Jacinto,23,139
7,San Jacinto,25,136
7,San Jacinto,23,132
7,San Jacinto,24,136
7,San Jacinto,23,137
7,San Jacinto,25,134
7,San Jacinto,24,134
7,San Jacinto,23,134
7,San Jacinto,24,135
7,San Jacinto,25,132
7,San Jacinto,23,135
7,San Jacinto,25,133
7,San Jacinto,23,136
7,San Jacinto,24,137
8,Nueva Bethel,31,140
8,Nueva Bethel,33,135
8,Nueva Bethel,31,138
8,Nueva Bethel,32,135
8,Nueva Bethel,34,132
8,Nueva Bethel,31,132
8,Nueva Bethel,32,134
8,Nueva Bethel,32,133
8,Nueva Bethel,31,135
8,Nueva Bethel,34,140
8,Nueva Bethel,33,132
8,Nueva Bethel,34,134
8,Nueva Bethel,32,137
8,Nueva Bethel,33,133
8,Nueva Bethel,31,134
8,Nueva Bethel,34,133
8,Nueva Bethel,32,136
8,Nueva Bethel,31,133
8,Nueva Bethel,33,136
8,Nueva Bethel,31,139
8,Nueva Bethel,34,136
8,Nueva Bethel,32,139
8,Nueva Bethel,33,137
8,Nueva Bethel,31,137
8,Nueva Bethel,32,138
8,Nueva Bethel,34,137
8,Nueva Bethel,33,138
8,Nueva Bethel,34,138
8,Nueva Bethel,33,139
8,Nueva Bethel,34,139
8,Nueva Bethel,33,140
