type,properties_in_map,properties_id,geometry_type,coordinatex1,coordinatey1,coordinatex2,coordinatey2,coordinatex3,coordinatey3,coordinatex4,coordinatey4,coordinatex5,coordinatey5
Feature,True,0,Polygon,59348,4998,59348,5000,59347,5000,59347,4998,59348,4998
Feature,True,1,Polygon,59347,4996,59347,4997,59346,4997,59346,4996,59347,4996
Feature,True,2,Polygon,59347,4997,59347,4998,59346,4998,59346,4997,59347,4997
Feature,True,3,Polygon,59347,4998,59347,5000,59346,5000,59346,4998,59347,4998
Feature,True,4,Polygon,59347,5000,59347,5001,59346,5001,59346,5000,59347,5000
Feature,True,5,Polygon,59347,5001,59347,5002,59346,5002,59346,5001,59347,5001
Feature,True,6,Polygon,59346,4990,59346,4991,59345,4991,59345,4990,59346,4990
Feature,True,7,Polygon,59346,4991,59346,4992,59345,4992,59345,4991,59346,4991
Feature,True,8,Polygon,59346,4992,59346,4993,59345,4993,59345,4992,59346,4992
Feature,True,9,Polygon,59346,4993,59346,4995,59345,4995,59345,4993,59346,4993
Feature,True,10,Polygon,59346,4995,59346,4996,59345,4996,59345,4995,59346,4995
Feature,True,11,Polygon,59346,4996,59346,4997,59345,4997,59345,4996,59346,4996
Feature,True,12,Polygon,59346,4997,59346,4998,59345,4998,59345,4997,59346,4997
Feature,True,13,Polygon,59346,4998,59346,5000,59345,5000,59345,4998,59346,4998
Feature,True,14,Polygon,59346,5000,59346,5001,59345,5001,59345,5000,59346,5000
Feature,True,15,Polygon,59346,5001,59346,5002,59345,5002,59345,5001,59346,5001
Feature,True,16,Polygon,59346,5002,59346,5003,59345,5003,59345,5002,59346,5002
Feature,True,17,Polygon,59346,5003,59346,5004,59345,5004,59345,5003,59346,5003
Feature,True,18,Polygon,59346,5004,59346,5006,59345,5006,59345,5004,59346,5004
Feature,True,19,Polygon,59345,4989,59345,4990,59343,4990,59343,4989,59345,4989
Feature,True,20,Polygon,59345,4990,59345,4991,59343,4991,59343,4990,59345,4990
Feature,True,21,Polygon,59345,4991,59345,4992,59343,4992,59343,4991,59345,4991
Feature,True,22,Polygon,59345,4992,59345,4993,59343,4993,59343,4992,59345,4992
Feature,True,23,Polygon,59345,4993,59345,4995,59343,4995,59343,4993,59345,4993
Feature,True,24,Polygon,59345,4995,59345,4996,59343,4996,59343,4995,59345,4995
Feature,True,25,Polygon,59345,4996,59345,4997,59343,4997,59343,4996,59345,4996
