tick,TotalHumans,Susceptible,Exposed,Infected,Recovered,New Cases per day
1,25000,24995,0,5,0,0
2,25000,24950,45,5,0,0
3,25000,24925,53,17,5,17
4,25000,24909,33,53,5,36
5,25000,24887,29,62,22,26
6,25000,24875,25,42,58,16
7,25000,24862,18,36,84,20
8,25000,24847,17,36,100,16
9,25000,24828,24,28,120,12
10,25000,24810,25,29,136,17
11,25000,24791,25,36,148,19
12,25000,24772,28,35,165,16
13,25000,24765,15,36,184,20
14,25000,24753,15,32,200,12
15,25000,24740,18,22,220,10
16,25000,24724,21,23,232,13
17,25000,24714,14,30,242,17
18,25000,24704,14,27,255,10
19,25000,24687,22,19,272,9
20,25000,24672,20,26,282,17
21,25000,24659,19,31,291,14
22,25000,24646,19,27,308,13
23,25000,24629,25,24,322,11
24,25000,24611,26,28,335,17
25,25000,24589,28,37,346,20
26,25000,24579,18,40,363,20
27,25000,24564,21,32,383,12
28,25000,24545,21,31,403,19
29,25000,24528,26,31,415,12
30,25000,24511,22,33,434,21
31,25000,24499,22,33,446,12
32,25000,24482,22,29,467,17
33,25000,24471,16,34,479,17
34,25000,24457,16,31,496,14
35,25000,24441,23,23,513,9
36,25000,24423,26,24,527,15
37,25000,24415,13,36,536,21
38,25000,24398,19,32,551,11
39,25000,24389,13,26,572,15
40,25000,24376,15,26,583,11
41,25000,24366,18,18,598,7
42,25000,24351,18,22,609,15
43,25000,24330,27,27,616,12
44,25000,24312,23,34,631,22
45,25000,24290,28,39,643,17
46,25000,24282,16,37,665,20
47,25000,24266,20,32,682,12
48,25000,24257,19,22,702,10
49,25000,24244,16,26,714,16
50,25000,24234,14,28,724,12
51,25000,24222,15,23,740,11
52,25000,24205,25,18,752,7
53,25000,24184,26,27,763,20
54,25000,24175,13,42,770,22
55,25000,24163,15,32,790,10
56,25000,24147,19,22,812,12
57,25000,24132,20,26,822,14
58,25000,24112,23,31,834,17
59,25000,24099,21,32,848,15
60,25000,24090,15,30,865,15
61,25000,24077,14,29,880,14
62,25000,24064,17,24,895,10
63,25000,24050,18,23,909,13
64,25000,24032,22,27,919,14
65,25000,24023,17,28,932,14
66,25000,24012,15,27,946,13
67,25000,23999,15,26,960,13
68,25000,23988,19,20,973,7
69,25000,23975,20,19,986,12
70,25000,23964,15,28,993,16
71,25000,23952,16,27,1005,11
72,25000,23941,16,22,1021,11
73,25000,23928,18,22,1032,11
74,25000,23918,12,27,1043,16
75,25000,23908,12,26,1054,10
76,25000,23889,24,17,1070,7
77,25000,23873,23,24,1080,17
78,25000,23862,16,35,1087,18
79,25000,23846,20,30,1104,12
80,25000,23833,20,25,1122,13
81,25000,23820,17,29,1134,16
82,25000,23808,19,26,1147,10
83,25000,23788,26,23,1163,13
84,25000,23770,26,31,1173,18
85,25000,23754,23,37,1186,19
86,25000,23740,19,37,1204,18
87,25000,23725,20,32,1223,14
88,25000,23712,20,27,1241,13
89,25000,23701,13,31,1255,18
90,25000,23689,15,28,1268,10
91,25000,23676,18,20,1286,10
92,25000,23661,19,24,1296,14
93,25000,23646,18,30,1306,16
94,25000,23639,14,27,1320,11
95,25000,23623,18,23,1336,12
96,25000,23607,21,25,1347,13
97,25000,23597,17,27,1359,14
98,25000,23586,14,28,1372,14
99,25000,23572,16,26,1386,12
100,25000,23561,18,21,1400,9
101,25000,23548,15,25,1412,16
102,25000,23538,14,27,1421,11
103,25000,23526,15,22,1437,11
104,25000,23512,20,20,1448,9
105,25000,23501,14,26,1459,17
106,25000,23493,14,25,1468,8
107,25000,23480,16,19,1485,11
108,25000,23465,20,22,1493,11
109,25000,23447,21,28,1504,17
110,25000,23435,20,30,1515,13
111,25000,23425,14,29,1532,16
112,25000,23407,21,27,1545,11
113,25000,23390,23,26,1561,15
114,25000,23380,20,28,1572,13
115,25000,23367,18,28,1587,15
116,25000,23352,20,28,1600,13
117,25000,23334,20,31,1615,18
118,25000,23318,20,34,1628,16
119,25000,23304,19,31,1646,15
120,25000,23293,18,27,1662,12
121,25000,23282,13,28,1677,16
122,25000,23268,18,25,1689,9
123,25000,23259,15,21,1705,12
124,25000,23244,19,23,1714,11
125,25000,23231,16,27,1726,16
126,25000,23221,14,28,1737,12
127,25000,23210,16,21,1753,9
128,25000,23201,13,21,1765,12
129,25000,23187,17,22,1774,10
130,25000,23173,19,22,1786,12
131,25000,23161,16,27,1796,15
132,25000,23147,16,29,1808,14
133,25000,23136,16,25,1823,11
134,25000,23126,17,20,1837,9
135,25000,23117,11,24,1848,15
136,25000,23100,21,22,1857,7
137,25000,23088,20,20,1872,13
138,25000,23077,15,29,1879,16
139,25000,23065,15,28,1892,12
140,25000,23053,15,24,1908,12
141,25000,23044,16,20,1920,8
142,25000,23028,22,18,1932,10
143,25000,23013,23,24,1940,14
