tick,TotalHumans,Susceptible,Exposed,Infected,Recovered,New Cases per day
1,10000,9990,0,10,0,0
2,10000,9955,35,10,0,0
3,10000,9943,30,17,10,17
4,10000,9938,12,40,10,23
5,10000,9931,12,30,27,7
6,10000,9925,8,17,50,10
7,10000,9917,10,16,57,6
8,10000,9905,15,13,67,7
9,10000,9895,16,16,73,9
10,10000,9889,8,23,80,14
11,10000,9883,6,22,89,8
12,10000,9877,9,11,103,3
13,10000,9873,5,11,111,8
14,10000,9867,8,11,114,3
15,10000,9859,11,8,122,5
16,10000,9854,9,12,125,7
17,10000,9847,8,15,130,8
18,10000,9841,8,14,137,6
19,10000,9834,9,12,145,6
20,10000,9828,7,14,151,8
21,10000,9817,11,15,157,7
22,10000,9809,12,14,165,7
23,10000,9805,7,16,172,9
24,10000,9800,7,14,179,5
25,10000,9798,4,10,188,5
26,10000,9791,7,9,193,4
27,10000,9787,7,8,198,4
28,10000,9776,12,10,202,6
29,10000,9770,9,15,206,9
30,10000,9765,9,14,212,5
31,10000,9755,10,14,221,9
32,10000,9751,9,14,226,5
33,10000,9744,9,12,235,7
34,10000,9737,9,14,240,7
35,10000,9734,8,11,247,4
36,10000,9728,6,12,254,8
37,10000,9724,5,13,258,5
38,10000,9712,13,9,266,4
39,10000,9707,9,13,271,9
40,10000,9701,8,16,275,7
41,10000,9695,6,15,284,8
42,10000,9687,9,13,291,5
43,10000,9680,10,11,299,6
44,10000,9675,8,13,304,7
45,10000,9670,7,13,310,6
46,10000,9665,6,12,317,6
47,10000,9660,7,10,323,4
48,10000,9655,8,8,329,4
49,10000,9650,5,12,333,8
50,10000,9641,10,12,337,4
51,10000,9635,9,11,345,7
52,10000,9629,8,14,349,7
53,10000,9625,8,11,356,4
54,10000,9619,6,12,363,8
55,10000,9613,8,12,367,4
56,10000,9611,4,10,375,6
57,10000,9604,8,9,379,3
58,10000,9600,8,7,385,4
59,10000,9589,12,11,388,7
60,10000,9585,9,14,392,7
61,10000,9579,6,16,399,9
62,10000,9576,5,13,406,4
63,10000,9573,4,8,415,4
64,10000,9569,5,7,419,3
65,10000,9566,4,7,423,4
66,10000,9563,3,8,426,4
67,10000,9553,12,5,430,1
68,10000,9544,14,8,434,7
69,10000,9539,10,16,435,9
70,10000,9531,12,15,442,6
71,10000,9526,7,16,451,10
72,10000,9524,2,17,457,7
73,10000,9521,3,9,467,2
74,10000,9516,8,2,474,0
75,10000,9507,12,5,476,5
76,10000,9505,7,12,476,7
77,10000,9502,4,13,481,6
78,10000,9492,11,9,488,3
79,10000,9487,9,10,494,7
80,10000,9482,7,14,497,7
81,10000,9477,7,12,504,5
82,10000,9470,8,11,511,6
83,10000,9466,7,11,516,5
84,10000,9461,7,10,522,5
85,10000,9454,7,12,527,7
86,10000,9449,7,12,532,5
87,10000,9440,12,9,539,4
88,10000,9436,6,14,544,10
89,10000,9430,6,16,548,6
90,10000,9423,9,10,558,4
91,10000,9412,12,12,564,8
92,10000,9405,12,15,568,7
93,10000,9403,5,16,576,9
94,10000,9396,7,14,583,5
95,10000,9393,4,11,592,6
96,10000,9387,7,9,597,3
97,10000,9382,7,8,603,5
98,10000,9380,3,11,606,6
99,10000,9372,8,9,611,3
100,10000,9362,14,7,617,4
101,10000,9358,7,15,620,11
102,10000,9355,3,18,624,7
103,10000,9348,8,9,635,2
104,10000,9345,6,7,642,5
105,10000,9339,7,10,644,5
106,10000,9332,10,9,649,4
107,10000,9329,5,12,654,8
108,10000,9323,6,13,658,5
109,10000,9316,8,10,666,5
110,10000,9310,10,9,671,4
111,10000,9307,5,12,676,8
112,10000,9304,6,10,680,2
113,10000,9296,8,8,688,6
114,10000,9290,8,12,690,6
115,10000,9281,10,13,696,7
116,10000,9277,9,12,702,5
117,10000,9269,9,13,709,8
118,10000,9266,7,13,714,5
119,10000,9259,8,11,722,6
120,10000,9254,7,12,727,6
121,10000,9248,6,13,733,7
122,10000,9245,6,10,739,3
123,10000,9239,6,9,746,6
124,10000,9232,8,11,749,5
125,10000,9223,13,9,755,4
126,10000,9220,6,14,760,10
127,10000,9213,8,15,764,5
128,10000,9210,6,10,774,5
129,10000,9203,8,10,779,5
130,10000,9198,7,11,784,6
131,10000,9195,3,13,789,7
132,10000,9188,9,8,795,1
133,10000,9183,9,6,802,5
134,10000,9179,5,13,803,8
135,10000,9172,8,12,808,4
136,10000,9166,11,7,816,3
137,10000,9160,9,11,820,8
138,10000,9157,4,16,823,8
139,10000,9153,5,11,831,3
140,10000,9152,2,7,839,4
141,10000,9146,6,6,842,2
142,10000,9137,10,7,846,5
143,10000,9133,8,11,848,6
144,10000,9126,10,11,853,5
145,10000,9120,6,15,859,10
146,10000,9117,6,13,864,3
147,10000,9115,3,8,874,5
148,10000,9110,5,8,877,3
