type,properties_in_map,properties_id,geometry_type,coordinatex1,coordinatey1,coordinatex2,coordinatey2,coordinatex3,coordinatey3,coordinatex4,coordinatey4,coordinatex5,coordinatey5
Feature,True,0,Polygon,100,9599,100,9699,0,9699,0,9599,100,9599
Feature,True,1,Polygon,100,9699,100,9799,0,9799,0,9699,100,9699
Feature,True,2,Polygon,100,13999,100,14099,0,14099,0,13999,100,13999
Feature,True,3,Polygon,100,14099,100,14199,0,14199,0,14099,100,14099
Feature,True,4,Polygon,100,14199,100,14299,0,14299,0,14199,100,14199
Feature,True,5,Polygon,200,9599,200,9699,100,9699,100,9599,200,9599
Feature,True,6,Polygon,200,9699,200,9799,100,9799,100,9699,200,9699
Feature,True,7,Polygon,200,9799,200,9899,100,9899,100,9799,200,9799
Feature,True,8,Polygon,200,9899,200,9999,100,9999,100,9899,200,9899
Feature,True,9,Polygon,200,9999,200,10099,100,10099,100,9999,200,9999
Feature,True,10,Polygon,200,10099,200,10199,100,10199,100,10099,200,10099
Feature,True,11,Polygon,200,14099,200,14199,100,14199,100,14099,200,14099
Feature,True,12,Polygon,200,14199,200,14299,100,14299,100,14199,200,14199
Feature,True,13,Polygon,300,9599,300,9699,200,9699,200,9599,300,9599
Feature,True,14,Polygon,300,9699,300,9799,200,9799,200,9699,300,9699
Feature,True,15,Polygon,300,9799,300,9899,200,9899,200,9799,300,9799
Feature,True,16,Polygon,300,9899,300,9999,200,9999,200,9899,300,9899
Feature,True,17,Polygon,300,9999,300,10099,200,10099,200,9999,300,9999
Feature,True,18,Polygon,300,10099,300,10199,200,10199,200,10099,300,10099
Feature,True,19,Polygon,300,10199,300,10299,200,10299,200,10199,300,10199
Feature,True,20,Polygon,300,10299,300,10399,200,10399,200,10299,300,10299
Feature,True,21,Polygon,300,13999,300,14099,200,14099,200,13999,300,13999
Feature,True,22,Polygon,300,14099,300,14199,200,14199,200,14099,300,14099
Feature,True,23,Polygon,300,14199,300,14299,200,14299,200,14199,300,14199
Feature,True,24,Polygon,400,9599,400,9699,300,9699,300,9599,400,9599
Feature,True,25,Polygon,400,9699,400,9799,300,9799,300,9699,400,9699
Feature,True,26,Polygon,400,9799,400,9899,300,9899,300,9799,400,9799
Feature,True,27,Polygon,400,9899,400,9999,300,9999,300,9899,400,9899
Feature,True,28,Polygon,400,9999,400,10099,300,10099,300,9999,400,9999
Feature,True,29,Polygon,400,10099,400,10199,300,10199,300,10099,400,10099
Feature,True,30,Polygon,400,10199,400,10299,300,10299,300,10199,400,10199
Feature,True,31,Polygon,400,10299,400,10399,300,10399,300,10299,400,10299
Feature,True,32,Polygon,400,10399,400,10499,300,10499,300,10399,400,10399
Feature,True,33,Polygon,400,13799,400,13899,300,13899,300,13799,400,13799
Feature,True,34,Polygon,400,13899,400,13999,300,13999,300,13899,400,13899
Feature,True,35,Polygon,400,13999,400,14099,300,14099,300,13999,400,13999
Feature,True,36,Polygon,400,14099,400,14199,300,14199,300,14099,400,14099
Feature,True,37,Polygon,400,14199,400,14299,300,14299,300,14199,400,14199
Feature,True,38,Polygon,400,14299,400,14399,300,14399,300,14299,400,14299
Feature,True,39,Polygon,500,9599,500,9699,400,9699,400,9599,500,9599
Feature,True,40,Polygon,500,9699,500,9799,400,9799,400,9699,500,9699
Feature,True,41,Polygon,500,9799,500,9899,400,9899,400,9799,500,9799
Feature,True,42,Polygon,500,9899,500,9999,400,9999,400,9899,500,9899
Feature,True,43,Polygon,500,9999,500,10099,400,10099,400,9999,500,9999
Feature,True,44,Polygon,500,10099,500,10199,400,10199,400,10099,500,10099
Feature,True,45,Polygon,500,10199,500,10299,400,10299,400,10199,500,10199
