week,week_continuous,incidence_rate_adjusted
1,26,6.9296323552850225
2,27,26.332602950083086
3,28,34.64816177642511
4,29,29.10445589219709
5,30,34.64816177642511
6,31,36.03408824748212
7,32,44.34964707382414
8,33,51.27927942910917
9,34,31.8763088343111
10,35,36.03408824748212
11,36,40.19186766065313
12,37,55.43705884228018
13,38,60.9807647265082
14,39,55.43705884228018
15,40,40.19186766065313
16,41,55.43705884228018
17,42,45.73557354488114
18,43,41.57779413171013
19,44,49.89335295805216
20,45,42.96372060276714
21,46,30.4903823632541
22,47,66.5244706107362
23,48,67.91039708179322
24,49,55.43705884228018
25,50,66.5244706107362
26,51,51.27927942910917
27,52,51.27927942910917
28,53,58.20891178439418
29,54,42.96372060276714
30,55,51.27927942910917
31,56,33.2622353053681
32,57,30.4903823632541
33,58,33.2622353053681
34,59,30.4903823632541
35,60,19.402970594798063
36,61,9.701485297399032
37,62,5.543705884228017
38,63,20.788897065855064
39,64,13.859264710570045
40,65,11.087411768456034
41,66,18.01704412374106
42,67,6.9296323552850225
43,68,9.701485297399032
44,69,12.47333823951304
45,70,12.47333823951304
46,71,11.087411768456034
47,72,9.701485297399032
48,73,9.701485297399032
49,74,13.859264710570045
50,75,2.7718529421140086
51,76,8.315558826342025
52,77,2.7718529421140086
