week,week_continuous,incidence_rate_adjusted
1,45,42.96372060276714
2,46,30.4903823632541
3,47,66.5244706107362
4,48,67.91039708179322
5,49,55.43705884228018
6,50,66.5244706107362
7,51,51.27927942910917
8,52,51.27927942910917
9,53,58.20891178439418
10,54,42.96372060276714
11,55,51.27927942910917
12,56,33.2622353053681
13,57,30.4903823632541
14,58,33.2622353053681
15,59,30.4903823632541
16,60,19.402970594798063
17,61,9.701485297399032
18,62,5.543705884228017
19,63,20.788897065855064
20,64,13.859264710570043
21,65,11.087411768456034
22,66,18.01704412374106
23,67,6.929632355285023
24,68,9.701485297399032
25,69,12.47333823951304
26,70,12.47333823951304
27,71,11.087411768456034
28,72,9.701485297399032
29,73,9.701485297399032
30,74,13.859264710570043
31,75,2.771852942114009
32,76,8.315558826342025
33,77,2.771852942114009
34,78,11.087411768456034
35,79,13.859264710570043
36,80,8.315558826342025
37,81,2.771852942114009
38,82,13.859264710570043
39,83,20.788897065855064
40,84,12.47333823951304
41,85,19.402970594798063
42,86,22.17482353691207
43,87,15.24519118162705
44,88,15.24519118162705
45,89,8.315558826342025
46,90,15.24519118162705
47,91,18.01704412374106
48,92,12.47333823951304
49,93,5.543705884228017
50,94,18.01704412374106
51,95,6.929632355285023
52,96,11.087411768456034
