neighborhood_id,neighborhood_name,x,y
1,Oasis,88,174
1,Oasis,89,174
1,Oasis,88,175
1,Oasis,89,175
1,Oasis,88,176
1,Oasis,89,176
1,Oasis,90,174
1,Oasis,88,177
1,Oasis,89,177
1,Oasis,90,175
1,Oasis,88,178
1,Oasis,90,180
1,Oasis,89,180
1,Oasis,90,181
1,Oasis,88,182
1,Oasis,90,179
1,Oasis,90,177
1,Oasis,88,180
1,Oasis,89,181
1,Oasis,89,179
1,Oasis,90,182
1,Oasis,89,178
1,Oasis,90,178
1,Oasis,88,181
1,Oasis,90,176
1,Oasis,88,179
1,Oasis,89,182
2,La Quinina,37,119
2,La Quinina,36,115
2,La Quinina,38,119
2,La Quinina,37,115
2,La Quinina,37,118
2,La Quinina,38,118
2,La Quinina,37,117
2,La Quinina,38,117
2,La Quinina,38,114
2,La Quinina,36,117
2,La Quinina,38,116
2,La Quinina,36,116
2,La Quinina,36,118
2,La Quinina,38,115
3,Ondas del Caribe,96,184
3,Ondas del Caribe,98,184
3,Ondas del Caribe,97,184
3,Ondas del Caribe,97,185
3,Ondas del Caribe,96,186
3,Ondas del Caribe,97,186
3,Ondas del Caribe,97,187
3,Ondas del Caribe,98,185
3,Ondas del Caribe,96,188
3,Ondas del Caribe,97,188
3,Ondas del Caribe,98,186
3,Ondas del Caribe,96,189
3,Ondas del Caribe,97,191
3,Ondas del Caribe,98,191
3,Ondas del Caribe,98,188
3,Ondas del Caribe,96,191
3,Ondas del Caribe,97,192
3,Ondas del Caribe,97,190
3,Ondas del Caribe,98,192
3,Ondas del Caribe,98,187
3,Ondas del Caribe,96,190
3,Ondas del Caribe,97,189
3,Ondas del Caribe,98,193
3,Ondas del Caribe,96,192
3,Ondas del Caribe,98,189
3,Ondas del Caribe,98,190
3,Ondas del Caribe,96,193
4,Pantano,90,193
4,Pantano,89,184
4,Pantano,89,193
4,Pantano,90,192
4,Pantano,88,184
4,Pantano,89,185
4,Pantano,89,192
4,Pantano,88,185
4,Pantano,89,186
4,Pantano,89,188
4,Pantano,88,192
4,Pantano,90,189
4,Pantano,90,185
4,Pantano,88,188
4,Pantano,89,189
4,Pantano,88,193
4,Pantano,90,190
4,Pantano,90,186
4,Pantano,88,189
4,Pantano,90,184
4,Pantano,88,187
4,Pantano,89,191
4,Pantano,89,190
4,Pantano,88,186
4,Pantano,88,190
4,Pantano,90,188
4,Pantano,88,191
5,8 de Diciembre,103,196
5,8 de Diciembre,101,197
5,8 de Diciembre,103,195
5,8 de Diciembre,101,196
5,8 de Diciembre,102,195
5,8 de Diciembre,101,195
6,La Coquera,24,123
6,La Coquera,23,124
6,La Coquera,25,125
6,La Coquera,23,128
6,La Coquera,24,128
6,La Coquera,25,124
6,La Coquera,23,127
6,La Coquera,25,128
6,La Coquera,24,129
6,La Coquera,25,122
6,La Coquera,23,125
6,La Coquera,24,127
6,La Coquera,25,123
6,La Coquera,23,126
6,La Coquera,25,129
6,La Coquera,25,127
6,La Coquera,24,126
6,La Coquera,25,130
6,La Coquera,25,126
7,San Jacinto,24,135
7,San Jacinto,23,132
7,San Jacinto,24,134
7,San Jacinto,23,133
7,San Jacinto,24,133
7,San Jacinto,25,133
7,San Jacinto,25,132
8,Nueva Bethel,31,140
8,Nueva Bethel,32,140
8,Nueva Bethel,32,135
8,Nueva Bethel,34,132
8,Nueva Bethel,33,135
8,Nueva Bethel,31,138
8,Nueva Bethel,32,134
8,Nueva Bethel,34,135
8,Nueva Bethel,32,138
8,Nueva Bethel,33,134
8,Nueva Bethel,31,137
8,Nueva Bethel,34,134
8,Nueva Bethel,32,137
8,Nueva Bethel,33,133
8,Nueva Bethel,31,136
8,Nueva Bethel,33,140
8,Nueva Bethel,32,132
8,Nueva Bethel,31,134
8,Nueva Bethel,34,133
8,Nueva Bethel,32,136
8,Nueva Bethel,34,136
8,Nueva Bethel,32,139
8,Nueva Bethel,33,132
8,Nueva Bethel,31,135
8,Nueva Bethel,33,136
8,Nueva Bethel,34,137
8,Nueva Bethel,31,133
8,Nueva Bethel,33,137
8,Nueva Bethel,34,138
8,Nueva Bethel,33,138
8,Nueva Bethel,34,139
8,Nueva Bethel,33,139
