tick,TotalHumans,Susceptible,Exposed,Infected,Recovered,New Cases per day
1,100000,99995,0,5,0,0
2,100000,99911,84,5,0,0
3,100000,99855,107,33,5,33
4,100000,99808,71,116,5,83
5,100000,99761,72,129,38,46
6,100000,99711,70,98,121,52
7,100000,99647,89,97,167,45
8,100000,99592,83,106,219,61
9,100000,99538,77,121,264,60
10,100000,99487,81,107,325,47
11,100000,99431,77,107,385,60
12,100000,99382,71,115,432,55
13,100000,99336,64,108,492,53
14,100000,99290,65,98,547,45
15,100000,99221,89,90,600,45
16,100000,99173,72,110,645,65
17,100000,99127,69,114,690,49
18,100000,99068,75,102,755,53
19,100000,99015,77,104,804,51
20,100000,98964,79,100,857,49
21,100000,98908,78,106,908,57
22,100000,98863,73,107,957,50
23,100000,98818,67,101,1014,51
24,100000,98773,65,98,1064,47
25,100000,98728,61,96,1115,49
26,100000,98671,75,92,1162,43
27,100000,98608,93,88,1211,45
28,100000,98553,86,107,1254,62
29,100000,98506,76,119,1299,57
30,100000,98458,73,108,1361,51
31,100000,98416,64,102,1418,51
32,100000,98363,70,98,1469,47
33,100000,98318,66,96,1520,49
34,100000,98261,73,99,1567,50
35,100000,98207,72,105,1616,55
36,100000,98147,89,98,1666,43
37,100000,98092,79,108,1721,65
38,100000,98037,75,124,1764,59
39,100000,97999,71,101,1829,42
40,100000,97942,68,102,1888,60
41,100000,97892,73,105,1930,45
42,100000,97832,74,104,1990,59
43,100000,97778,85,102,2035,43
44,100000,97736,68,102,2094,59
45,100000,97685,62,116,2137,57
46,100000,97621,92,91,2196,34
47,100000,97576,72,99,2253,65
48,100000,97528,72,113,2287,48
49,100000,97474,80,94,2352,46
50,100000,97416,81,103,2400,57
51,100000,97368,69,117,2446,60
52,100000,97329,56,112,2503,52
53,100000,97293,50,94,2563,42
54,100000,97242,65,78,2615,36
55,100000,97190,70,83,2657,47
56,100000,97141,77,89,2693,42
57,100000,97086,72,102,2740,60
58,100000,97038,70,110,2782,50
59,100000,96997,63,98,2842,48
60,100000,96953,55,100,2892,52
61,100000,96911,60,89,2940,37
62,100000,96852,73,83,2992,46
63,100000,96809,64,98,3029,52
64,100000,96765,67,93,3075,41
65,100000,96713,73,87,3127,46
66,100000,96642,97,93,3168,47
67,100000,96589,86,111,3214,64
68,100000,96544,70,125,3261,61
69,100000,96478,92,105,3325,44
70,100000,96430,75,109,3386,65
71,100000,96380,68,122,3430,57
72,100000,96341,64,100,3495,43
73,100000,96307,48,93,3552,50
74,100000,96250,70,85,3595,35
75,100000,96200,76,79,3645,44
76,100000,96159,66,95,3680,51
77,100000,96116,59,101,3724,50
78,100000,96069,64,92,3775,42
79,100000,96038,50,87,3825,45
80,100000,95982,67,84,3867,39
81,100000,95934,66,88,3912,49
82,100000,95887,61,101,3951,52
83,100000,95822,78,100,4000,48
84,100000,95773,83,92,4052,44
85,100000,95712,81,107,4100,63
86,100000,95667,74,115,4144,52
87,100000,95604,84,105,4207,53
88,100000,95551,79,111,4259,58
89,100000,95499,71,118,4312,60
90,100000,95443,81,106,4370,46
91,100000,95392,70,108,4430,62
92,100000,95354,57,113,4476,51
93,100000,95311,56,95,4538,44
94,100000,95265,60,86,4589,42
95,100000,95226,57,84,4633,42
96,100000,95189,53,83,4675,41
97,100000,95146,57,80,4717,39
98,100000,95099,65,78,4758,39
99,100000,95044,78,81,4797,42
100,100000,94988,85,91,4836,49
101,100000,94934,79,109,4878,60
102,100000,94882,83,108,4927,48
103,100000,94828,76,109,4987,61
104,100000,94780,67,118,5035,57
105,100000,94733,65,106,5096,49
106,100000,94690,59,98,5153,49
107,100000,94652,58,88,5202,39
108,100000,94607,57,85,5251,46
109,100000,94569,59,82,5290,36
110,100000,94523,65,76,5336,40
111,100000,94481,58,89,5372,49
112,100000,94435,64,89,5412,40
113,100000,94395,58,86,5461,46
114,100000,94345,72,82,5501,36
115,100000,94302,61,90,5547,54
116,100000,94255,71,91,5583,37
117,100000,94218,53,92,5637,55
118,100000,94178,53,95,5674,40
119,100000,94130,64,77,5729,37
120,100000,94080,75,76,5769,39
121,100000,94019,81,94,5806,55
122,100000,93977,69,109,5845,54
123,100000,93942,55,103,5900,49
124,100000,93887,69,90,5954,41
125,100000,93845,59,93,6003,52
126,100000,93802,63,91,6044,39
127,100000,93762,56,86,6096,47
128,100000,93725,51,89,6135,42
129,100000,93678,61,79,6182,37
130,100000,93639,62,75,6224,38
131,100000,93588,69,82,6261,44
132,100000,93534,79,88,6299,44
133,100000,93488,72,97,6343,53
134,100000,93437,73,103,6387,50
135,100000,93391,66,103,6440,53
136,100000,93341,70,99,6490,46
137,100000,93303,65,89,6543,43
138,100000,93250,73,88,6589,45
139,100000,93208,61,99,6632,54
140,100000,93155,72,96,6677,42
141,100000,93107,66,96,6731,54
142,100000,93066,58,103,6773,49
143,100000,93023,53,97,6827,48
144,100000,92987,52,85,6876,37
145,100000,92941,56,79,6924,42
146,100000,92892,60,87,6961,45
147,100000,92854,57,86,7003,41
148,100000,92810,62,80,7048,39
149,100000,92771,54,86,7089,47
150,100000,92743,44,85,7128,38
151,100000,92694,59,72,7175,34
152,100000,92632,79,76,7213,42
153,100000,92599,62,92,7247,50
154,100000,92563,48,100,7289,50
155,100000,92525,50,86,7339,36
156,100000,92494,44,73,7389,37
157,100000,92443,65,67,7425,30
158,100000,92401,67,70,7462,40
159,100000,92357,60,91,7492,51
160,100000,92296,75,97,7532,46
161,100000,92240,81,96,7583,50
162,100000,92193,75,103,7629,53
163,100000,92152,56,113,7679,60
