tick,TotalHumans,Susceptible,Exposed,Infected,Recovered,New Cases per day
1,100000,99995,0,5,0,0
2,100000,99951,44,5,0,0
3,100000,99917,78,5,0,0
4,100000,99885,110,5,0,0
5,100000,99846,149,5,0,0
6,100000,99820,131,49,0,44
7,100000,99795,122,83,0,34
8,100000,99745,140,110,5,32
9,100000,99695,151,149,5,39
10,100000,99652,168,175,5,26
11,100000,99618,177,200,5,25
12,100000,99589,156,250,5,50
13,100000,99546,149,256,49,50
14,100000,99506,146,265,83,43
15,100000,99479,139,267,115,34
16,100000,99445,144,257,154,29
17,100000,99408,138,274,180,43
18,100000,99376,130,289,205,40
19,100000,99340,139,266,255,27
20,100000,99305,140,250,305,34
21,100000,99262,146,244,348,37
22,100000,99225,151,242,382,32
23,100000,99186,154,249,411,36
24,100000,99153,152,241,454,35
25,100000,99128,134,244,494,43
26,100000,99096,129,254,521,37
27,100000,99052,134,259,555,39
28,100000,99020,133,255,592,33
29,100000,98990,138,248,624,25
30,100000,98953,143,244,660,32
31,100000,98915,137,253,695,44
32,100000,98885,135,242,738,32
33,100000,98840,150,235,775,30
34,100000,98801,152,233,814,37
35,100000,98763,152,238,847,38
36,100000,98715,170,243,872,30
37,100000,98683,157,256,904,45
38,100000,98641,160,251,948,39
39,100000,98601,162,257,980,38
40,100000,98567,148,275,1010,48
41,100000,98536,147,270,1047,32
42,100000,98500,141,274,1085,42
43,100000,98456,145,284,1115,40
44,100000,98412,155,273,1160,34
45,100000,98375,161,265,1199,31
46,100000,98348,152,263,1237,36
47,100000,98308,148,259,1285,44
48,100000,98279,133,271,1317,44
49,100000,98249,126,266,1359,37
50,100000,98219,129,253,1399,27
51,100000,98190,118,259,1433,40
52,100000,98156,123,257,1464,29
53,100000,98116,133,251,1500,30
54,100000,98085,134,237,1544,30
55,100000,98057,133,222,1588,29
56,100000,98026,130,219,1625,34
57,100000,97987,129,232,1652,40
58,100000,97953,132,223,1692,31
59,100000,97918,139,222,1721,28
60,100000,97871,155,223,1751,31
61,100000,97843,144,232,1781,39
62,100000,97807,146,237,1810,34
63,100000,97782,136,238,1844,35
64,100000,97748,123,245,1884,47
65,100000,97709,134,242,1915,28
66,100000,97664,143,250,1943,36
67,100000,97621,161,244,1974,25
68,100000,97590,158,239,2013,34
69,100000,97554,155,244,2047,39
70,100000,97523,141,254,2082,45
71,100000,97489,132,250,2129,43
72,100000,97436,154,253,2157,31
73,100000,97400,154,253,2193,36
74,100000,97360,163,259,2218,31
75,100000,97326,163,259,2252,34
76,100000,97294,142,273,2291,53
77,100000,97259,141,264,2336,36
78,100000,97237,123,261,2379,40
79,100000,97194,132,264,2410,34
80,100000,97159,135,260,2446,32
81,100000,97122,137,264,2477,35
82,100000,97097,140,252,2511,22
83,100000,97064,130,242,2564,43
84,100000,97036,123,241,2600,35
85,100000,97002,120,238,2640,37
86,100000,96963,134,229,2674,25
87,100000,96933,131,230,2706,33
88,100000,96902,134,223,2741,28
89,100000,96854,148,235,2763,34
90,100000,96815,148,231,2806,39
91,100000,96790,143,226,2841,30
92,100000,96754,148,220,2878,31
93,100000,96721,133,243,2903,48
94,100000,96693,122,249,2936,39
95,100000,96663,127,246,2964,25
96,100000,96643,111,248,2998,36
97,100000,96610,111,242,3037,33
98,100000,96564,129,240,3067,28
99,100000,96527,136,239,3098,30
100,100000,96490,153,211,3146,20
101,100000,96455,155,205,3185,33
102,100000,96424,140,226,3210,46
103,100000,96395,132,227,3246,37
104,100000,96366,124,231,3279,37
105,100000,96333,122,238,3307,35
106,100000,96297,127,239,3337,31
107,100000,96270,125,248,3357,29
108,100000,96244,122,244,3390,29
109,100000,96210,123,231,3436,33
110,100000,96193,104,230,3473,36
111,100000,96154,116,220,3510,27
112,100000,96131,113,211,3545,26
113,100000,96101,109,214,3576,34
114,100000,96072,121,202,3605,17
115,100000,96040,114,212,3634,39
116,100000,96009,122,202,3667,23
117,100000,95975,126,196,3703,30
118,100000,95944,128,198,3730,29
119,100000,95910,130,204,3756,32
120,100000,95879,130,201,3790,31
121,100000,95850,125,218,3807,34
122,100000,95815,129,210,3846,31
123,100000,95773,137,221,3869,34
124,100000,95746,133,222,3899,31
125,100000,95714,136,222,3928,29
126,100000,95686,129,225,3960,35
127,100000,95658,115,236,3991,42
128,100000,95629,117,229,4025,27
129,100000,95598,116,230,4056,32
130,100000,95560,126,224,4090,28
131,100000,95533,125,221,4121,28
132,100000,95508,121,221,4150,29
133,100000,95474,124,217,4185,31
134,100000,95440,120,213,4227,38
135,100000,95404,129,213,4254,27
136,100000,95378,130,206,4286,25
137,100000,95337,137,212,4314,34
138,100000,95300,140,218,4342,34
139,100000,95271,133,225,4371,36
140,100000,95239,139,220,4402,26
141,100000,95205,132,223,4440,41
142,100000,95177,123,233,4467,37
143,100000,95148,123,237,4492,29
144,100000,95119,120,235,4526,32
145,100000,95090,115,235,4560,34
146,100000,95062,115,227,4596,28
147,100000,95029,119,230,4622,29
148,100000,94998,121,218,4663,29
149,100000,94970,120,210,4700,29
150,100000,94943,119,209,4729,28
151,100000,94916,113,210,4761,33
152,100000,94885,113,207,4795,31
153,100000,94857,113,207,4823,28
154,100000,94832,111,205,4852,27
155,100000,94803,113,203,4881,27
156,100000,94777,108,205,4910,31
157,100000,94747,110,205,4938,28
158,100000,94715,117,197,4971,25
159,100000,94681,122,195,5002,29
160,100000,94648,129,193,5030,26
161,100000,94613,134,196,5057,30
162,100000,94579,136,201,5084,32
163,100000,94551,130,204,5115,34
164,100000,94523,125,209,5143,33
165,100000,94501,112,219,5168,35
166,100000,94473,106,224,5197,34
167,100000,94444,107,226,5223,28
168,100000,94417,106,224,5253,28
169,100000,94384,117,214,5285,22
170,100000,94357,116,208,5319,28
171,100000,94328,116,204,5352,29
172,100000,94301,116,196,5387,27
173,100000,94272,112,195,5421,33
174,100000,94238,119,194,5449,27
175,100000,94206,122,195,5477,29
176,100000,94173,128,200,5499,27
177,100000,94145,127,201,5527,29
178,100000,94125,113,206,5556,34
179,100000,94091,115,211,5583,32
180,100000,94066,107,211,5616,33
181,100000,94034,111,212,5643,28
182,100000,94002,123,203,5672,20
183,100000,93968,123,210,5699,34
184,100000,93949,117,206,5728,25
185,100000,93920,114,204,5762,32
186,100000,93885,117,204,5794,32
187,100000,93860,108,205,5827,34
188,100000,93825,124,196,5855,19
189,100000,93801,119,205,5875,29
190,100000,93769,116,206,5909,35
191,100000,93747,113,206,5934,25
192,100000,93724,101,209,5966,35
193,100000,93697,104,201,5998,24
194,100000,93666,103,199,6032,32
195,100000,93641,106,202,6051,22
196,100000,93615,109,196,6080,23
197,100000,93591,106,188,6115,27
198,100000,93556,110,194,6140,31
199,100000,93530,111,184,6175,25
200,100000,93500,115,186,6199,26
201,100000,93462,129,178,6231,24
202,100000,93438,118,191,6253,35
203,100000,93410,120,194,6276,26
204,100000,93380,120,197,6303,30
