tick,TotalHumans,Susceptible,Exposed,Infected,Recovered,New Cases per day
1,100000,99995,0,5,0,0
2,100000,99911,84,5,0,0
3,100000,99855,107,33,5,33
4,100000,99808,71,116,5,83
5,100000,99761,72,129,38,46
6,100000,99711,70,98,121,52
7,100000,99647,89,97,167,45
8,100000,99606,69,106,219,61
9,100000,99556,73,107,264,46
10,100000,99518,58,99,325,53
11,100000,99469,62,98,371,45
12,100000,99405,83,88,424,43
13,100000,99345,89,97,469,54
14,100000,99297,68,123,512,69
15,100000,99225,96,113,566,44
16,100000,99173,89,103,635,59
17,100000,99118,77,126,679,67
18,100000,99071,69,122,738,55
19,100000,99009,84,102,805,47
20,100000,98951,87,102,860,55
21,100000,98887,93,113,907,58
22,100000,98829,83,126,962,68
23,100000,98786,73,121,1020,53
24,100000,98732,71,109,1088,56
25,100000,98680,79,100,1141,44
26,100000,98628,75,100,1197,56
27,100000,98580,72,107,1241,51
28,100000,98523,74,106,1297,55
29,100000,98483,67,102,1348,47
30,100000,98418,80,99,1403,52
31,100000,98366,79,105,1450,53
32,100000,98299,87,112,1502,59
33,100000,98246,81,118,1555,59
34,100000,98187,81,118,1614,59
35,100000,98152,65,110,1673,51
36,100000,98107,56,105,1732,54
37,100000,98053,69,95,1783,41
38,100000,98004,64,95,1837,54
39,100000,97950,67,105,1878,51
40,100000,97899,80,89,1932,38
41,100000,97841,82,94,1983,56
42,100000,97793,75,111,2021,55
43,100000,97745,69,109,2077,54
44,100000,97697,66,105,2132,51
45,100000,97637,78,99,2186,48
46,100000,97576,82,105,2237,57
47,100000,97521,82,112,2285,55
48,100000,97467,85,106,2342,51
49,100000,97422,61,120,2397,69
50,100000,97385,54,113,2448,44
51,100000,97335,70,78,2517,34
52,100000,97301,57,81,2561,47
53,100000,97245,71,89,2595,42
54,100000,97200,63,95,2642,53
55,100000,97144,74,98,2684,45
56,100000,97082,86,95,2737,50
57,100000,97036,72,110,2782,60
58,100000,96990,75,103,2832,43
59,100000,96935,72,101,2892,58
60,100000,96883,71,111,2935,53
61,100000,96831,73,103,2993,50
62,100000,96783,74,97,3046,47
63,100000,96751,54,99,3096,52
64,100000,96711,52,94,3143,42
65,100000,96664,62,79,3195,37
66,100000,96622,59,82,3237,45
67,100000,96569,62,95,3274,50
68,100000,96517,73,91,3319,41
69,100000,96472,69,90,3369,49
70,100000,96418,69,103,3410,54
71,100000,96375,61,105,3459,51
72,100000,96320,74,93,3513,42
73,100000,96265,79,92,3564,50
74,100000,96212,70,112,3606,62
75,100000,96171,70,103,3656,41
76,100000,96129,62,91,3718,50
77,100000,96088,65,88,3759,38
78,100000,96052,52,87,3809,49
79,100000,96002,65,86,3847,37
80,100000,95944,77,83,3896,46
81,100000,95896,70,101,3933,55
82,100000,95844,76,101,3979,46
83,100000,95792,75,99,4034,53
84,100000,95741,71,108,4080,55
85,100000,95701,68,98,4133,43
86,100000,95665,53,94,4188,51
87,100000,95630,51,88,4231,37
88,100000,95568,76,74,4282,37
89,100000,95503,98,80,4319,43
90,100000,95452,78,114,4356,71
91,100000,95403,69,129,4399,58
92,100000,95354,66,110,4470,52
93,100000,95306,64,102,4528,50
94,100000,95256,72,92,4580,42
95,100000,95208,73,89,4630,47
96,100000,95163,68,97,4672,50
97,100000,95115,66,100,4719,50
98,100000,95074,66,91,4769,41
