aligned_week,real_week,real_year,real_cases,real_adjusted_cases,simulated_cases
1,21,2023,7,53.9,44
2,22,2023,8,61.6,256
3,23,2023,5,38.5,250
4,24,2023,6,46.2,259
5,25,2023,15,115.5,233
6,26,2023,5,38.5,270
7,27,2023,19,146.3,271
8,28,2023,25,192.5,222
9,29,2023,21,161.70000000000002,237
10,30,2023,25,192.5,244
11,31,2023,26,200.20000000000002,273
12,32,2023,32,246.4,242
13,33,2023,37,284.90000000000003,231
14,34,2023,23,177.1,242
15,35,2023,26,200.20000000000002,231
16,36,2023,29,223.3,220
17,37,2023,40,308.0,198
18,38,2023,44,338.8,222
19,39,2023,40,308.0,221
20,40,2023,29,223.3,225
21,41,2023,40,308.0,227
22,42,2023,33,254.1,207
23,43,2023,30,231.0,193
24,44,2023,36,277.2,226
25,45,2023,31,238.70000000000002,194
26,46,2023,22,169.4,212
27,47,2023,48,369.6,196
28,48,2023,49,377.3,202
29,49,2023,40,308.0,191
30,50,2023,48,369.6,195
31,51,2023,37,284.90000000000003,196
32,52,2023,37,284.90000000000003,175
33,1,2024,42,323.40000000000003,200
34,2,2024,31,238.70000000000002,206
35,3,2024,37,284.90000000000003,189
36,4,2024,24,184.8,190
37,5,2024,22,169.4,190
38,6,2024,24,184.8,202
39,7,2024,22,169.4,182
40,8,2024,14,107.8,188
41,9,2024,7,53.9,194
42,10,2024,4,30.8,175
43,11,2024,15,115.5,209
44,12,2024,10,77.0,186
45,13,2024,8,61.6,172
46,14,2024,13,100.10000000000001,170
47,15,2024,5,38.5,177
48,16,2024,7,53.9,169
49,17,2024,9,69.3,196
50,18,2024,9,69.3,157
51,19,2024,8,61.6,182
52,20,2024,7,53.9,191
