week,new_cases_oasis,new_cases_laquinina,total_humans_oasis,total_humans_laquinina
1,0,2,525,226
2,0,1,525,226
3,2,0,525,226
4,1,0,525,226
5,0,0,525,226
6,0,3,525,226
7,0,0,525,226
8,0,2,525,226
9,1,0,525,226
10,2,1,525,226
11,1,0,525,226
12,0,0,525,226
13,0,0,525,226
14,0,0,525,226
15,0,0,525,226
16,0,0,525,226
17,0,0,525,226
18,0,0,525,226
19,0,1,525,226
20,1,1,525,226
21,0,2,525,226
22,0,0,525,226
23,0,1,525,226
24,0,0,525,226
25,1,0,525,226
26,0,0,525,226
27,1,2,525,226
28,0,0,525,226
29,0,2,525,226
30,0,0,525,226
31,1,0,525,226
32,0,0,525,226
33,1,1,525,226
34,0,0,525,226
35,0,0,525,226
36,1,1,525,226
37,0,0,525,226
38,0,0,525,226
39,0,0,525,226
40,1,0,525,226
41,0,0,525,226
42,0,0,525,226
43,0,0,525,226
44,1,0,525,226
45,0,1,525,226
46,0,2,525,226
47,1,0,525,226
48,0,0,525,226
49,0,0,525,226
50,0,0,525,226
51,2,0,525,226
52,0,0,525,226
