week,new_cases_oasis,new_cases_laquinina,new_cases_ondasdelcaribe,new_cases_pantano,new_cases_ochodediciembre,new_cases_lacoquera,new_cases_sanjacinto,new_cases_nuevabethel,total_humans_oasis,total_humans_laquinina,total_humans_ondasdelcaribe,total_humans_pantano,total_humans_ochodediciembre,total_humans_lacoquera,total_humans_sanjacinto,total_humans_nuevabethel
1,1,0,0,0,1,0,1,1,720,349,488,486,139,182,420,588
2,2,1,3,0,0,0,2,0,720,349,488,486,139,182,420,588
3,0,2,0,0,0,1,1,1,720,349,488,486,139,182,420,588
4,0,0,1,0,0,0,1,0,720,349,488,486,139,182,420,588
5,0,0,0,1,0,0,2,1,720,349,488,486,139,182,420,588
6,1,0,0,1,1,0,0,2,720,349,488,486,139,182,420,588
7,1,0,2,0,0,0,0,0,720,349,488,486,139,182,420,588
8,0,1,1,1,0,1,0,0,720,349,488,486,139,182,420,588
9,1,0,0,1,0,0,0,0,720,349,488,486,139,182,420,588
10,1,0,0,1,0,0,4,1,720,349,488,486,139,182,420,588
11,1,0,0,0,0,0,1,1,720,349,488,486,139,182,420,588
12,0,1,0,1,1,0,0,0,720,349,488,486,139,182,420,588
13,0,2,0,1,1,1,0,0,720,349,488,486,139,182,420,588
14,1,0,0,0,0,0,0,2,720,349,488,486,139,182,420,588
15,2,0,0,0,1,0,0,1,720,349,488,486,139,182,420,588
16,0,1,2,0,1,0,1,0,720,349,488,486,139,182,420,588
17,1,1,2,0,0,0,1,2,720,349,488,486,139,182,420,588
18,4,1,1,0,0,0,1,0,720,349,488,486,139,182,420,588
19,0,0,2,0,0,0,3,1,720,349,488,486,139,182,420,588
20,0,0,3,0,1,0,0,0,720,349,488,486,139,182,420,588
21,0,0,1,1,1,1,0,2,720,349,488,486,139,182,420,588
